"catch_ID","session_ID","session_date","session_year","session_month","session_day","island_code","subisland_code","site_code","lat","long","capture_date","capture_year","capture_month","capture_day","capture_hour","capture_min","release_date","species","band_no","recapture","replaced","diet","BP","uncorr_mass","mass_tare","mass_corr","culmen","skull_length","tarsus","wing","tail","tail_fork","sex","how_sexed","age","how_aged","bander_id","measurers","flagged","notes"
"2014-07-04_SBI_ESP_01","2014-07-04_SBI_ESP",2014-07-04,2014,7,4,"SBI","SBI","ESP",33.482528,-119.041599,2014-07-04 22:49:00,2014,7,4,22,49,2014-07-04 23:04:00,"BLSP","1001-21569","N","N","N","5",55,0,55,14.7,NA,"31.6",172,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB","N",NA
"2014-07-04_SBI_ESP_02","2014-07-04_SBI_ESP",2014-07-04,2014,7,4,"SBI","SBI","ESP",33.482528,-119.041599,2014-07-05 00:50:00,2014,7,5,0,50,2014-07-05 01:00:00,"BLSP","1001-21570","N","N","N","4",52,0,52,15.8,NA,"32",178,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB","N",NA
"2014-07-07_SBI_SRO_01","2014-07-07_SBI_SRO",2014-07-07,2014,7,7,"SBI","SBI","SRO",33.484214,-119.034674,2014-07-08 00:34:00,2014,7,8,0,34,2014-07-08 00:46:00,"BLSP","1001-21571","N","N","N","3",53,0,53,15.7,NA,"34.4",174,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB","N",NA
"2014-07-16_SBI_ESP_01","2014-07-16_SBI_ESP",2014-07-16,2014,7,16,"SBI","SBI","ESP",33.482528,-119.041599,2014-07-16 22:10:00,2014,7,16,22,10,2014-07-16 22:19:00,"BLSP","1001-21572","N","N","N","3",55,0,55,16.4,NA,"32",172,NA,NA,NA,NA,NA,NA,NA,"EWW, NBH, CAC, JAH, MGB","N",NA
"2014-07-17_SBI_ESP_01","2014-07-17_SBI_ESP",2014-07-17,2014,7,17,"SBI","SBI","ESP",33.482528,-119.041599,2014-07-18 00:12:00,2014,7,18,0,12,2014-07-18 00:21:00,"BLSP","1001-21573","N","N","N","4",58,0,58,15.6,NA,"33.3",179,NA,NA,NA,NA,NA,NA,NA,"JAH, EWW","N",NA
"2016-06-01_SBI_AP_01","2016-06-01_SBI_AP",2016-06-01,2016,6,1,"SBI","SBI","AP",33.487622,-119.028535,2016-06-01 21:54:00,2016,6,1,21,54,2016-06-01 22:03:00,"BLSP","1001-21587","N","N","N","1",61,0,61,17,43.5,"32.9",171,NA,NA,NA,NA,NA,NA,NA,"JAH, AJB","N",NA
"2016-06-01_SBI_AP_02","2016-06-01_SBI_AP",2016-06-01,2016,6,1,"SBI","SBI","AP",33.487622,-119.028535,2016-06-01 23:02:00,2016,6,1,23,2,2016-06-01 23:14:00,"BLSP","1001-21588","N","N","N","0",56,0,56,16.3,40.1,"29.7",172,NA,NA,NA,NA,NA,NA,NA,"JAH, AJB","N",NA
"2014-08-21_SBI_AP_01","2014-08-21_SBI_AP",2014-08-21,2014,8,21,"SBI","SBI","AP",33.487622,-119.028535,2014-08-22 00:59:00,2014,8,22,0,59,2014-08-22 01:28:00,"BLSP","1001-21589","N","N","N","3",66,0,66,17.6,NA,"29.4",177,NA,NA,NA,NA,NA,NA,NA,"EWW, SMC, CAC","N",NA
"2016-07-06_SBI_AP_01","2016-07-06_SBI_AP",2016-07-06,2016,7,6,"SBI","SBI","AP",33.487622,-119.028535,2016-07-07 00:40:00,2016,7,7,0,40,2016-07-07 00:53:00,"BLSP","1001-21590","N","N","N","0",60,0,60,19,43.5,"35",176,NA,NA,NA,NA,NA,NA,NA,"JAH, AJD","N",NA
"2016-07-06_SBI_AP_02","2016-07-06_SBI_AP",2016-07-06,2016,7,6,"SBI","SBI","AP",33.487622,-119.028535,2016-07-06 21:18:00,2016,7,6,21,18,2016-07-06 22:29:00,"BLSP","1001-21591","N","N","N","1",58,0,58,15.8,41.5,"31.2",178,NA,NA,NA,NA,NA,NA,NA,"JAH, AJD","N",NA
