catch_ID,session_ID,session_date,session_year,session_month,session_day,island_code,subisland_code,site_code,lat,long,capture_date,capture_year,capture_month,capture_day,capture_hour,capture_min,release_date,species,ind_code,band_no,recapture,replaced,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,measurers,flagged,notes
2018-06-11_SBI_ESP_39,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/12/2018 0:05,2018,6,12,0,5,6/12/2018 0:09,ASSP,2461-05798,2461-05798,N,N,N,0,37,0,37,14.3,37.7,23.1,141,ND,ND,"JAH, CMB",N,NA
2018-06-11_SBI_ESP_40,2018-06-11_SBI_ESP,6/11/2018,2018,6,11,SBI,SBI,ESP,33.482528,-119.041599,6/12/2018 0:15,2018,6,12,0,15,6/12/2018 0:19,ASSP,2461-05799,2461-05799,N,N,N,1,36,0,36,14.4,36.9,23.7,137,ND,ND,"JAH, CMB",N,NA
2016-06-02_SCI_SR_05,2016-06-02_SCI_SR,6/2/2016,2016,6,2,SCI,SR,SR,34.047666,-119.547674,6/2/2016 22:15,2016,6,2,22,15,6/2/2016 23:23,ASSP,2501-41901,2501-41901,Y,N,N,3,37,0,37,14.8,37.5,23.1,139,ND,ND,"CAC, DMM, PTL",Y,When originally banded?
2014-07-25_SCI_LSH_01,2014-07-25_SCI_LSH,7/25/2014,2014,7,25,SCI,SCI,LSH,ND,ND,7/25/2014 21:26,2014,7,25,21,26,7/25/2014 21:40,ASSP,4501-37824,4501-37824,N,N,N,2,32,0,32,13.8,ND,20.9,134,ND,ND,"DMM, JAH, EWW",N,Took awhile to fly away
2014-07-25_SCI_LSH_02,2014-07-25_SCI_LSH,7/25/2014,2014,7,25,SCI,SCI,LSH,ND,ND,7/25/2014 21:38,2014,7,25,21,38,7/25/2014 21:46,ASSP,4501-37825,4501-37825,N,N,N,2,33,0,33,14,ND,23.8,140,ND,ND,"DMM, JAH, EWW",N,NA
2014-07-25_SCI_LSH_03,2014-07-25_SCI_LSH,7/25/2014,2014,7,25,SCI,SCI,LSH,ND,ND,7/25/2014 22:07,2014,7,25,22,7,7/25/2014 22:17,ASSP,4501-37826,4501-37826,N,N,N,2,38,0,38,14.3,ND,21.7,140,ND,ND,"DMM, JAH, EWW",N,NA
2014-07-25_SCI_LSH_04,2014-07-25_SCI_LSH,7/25/2014,2014,7,25,SCI,SCI,LSH,ND,ND,7/25/2014 22:08,2014,7,25,22,8,7/25/2014 22:15,ASSP,4501-37827,4501-37827,N,N,N,3,38,0,38,14.8,ND,22.8,146,ND,ND,"DMM, JAH, EWW",N,NA
2014-07-25_SCI_LSH_05,2014-07-25_SCI_LSH,7/25/2014,2014,7,25,SCI,SCI,LSH,ND,ND,7/25/2014 22:30,2014,7,25,22,30,7/25/2014 22:37,ASSP,4501-37828,4501-37828,N,N,N,4,39,0,39,15.2,ND,24.3,147,ND,ND,"DMM, JAH, EWW",N,NA
2014-07-25_SCI_LSH_06,2014-07-25_SCI_LSH,7/25/2014,2014,7,25,SCI,SCI,LSH,ND,ND,7/25/2014 22:48,2014,7,25,22,48,7/25/2014 22:53,ASSP,4501-37829,4501-37829,N,N,N,3,35,0,35,14.7,ND,24.3,145,ND,ND,"DMM, JAH, EWW",N,NA
2014-07-25_SCI_LSH_07,2014-07-25_SCI_LSH,7/25/2014,2014,7,25,SCI,SCI,LSH,ND,ND,7/25/2014 23:04,2014,7,25,23,4,7/25/2014 23:12,ASSP,4501-37830,4501-37830,N,N,N,1,32,0,32,13.8,ND,23.2,144,ND,ND,"DMM, JAH, EWW",N,NA
2014-07-25_SCI_LSH_08,2014-07-25_SCI_LSH,7/25/2014,2014,7,25,SCI,SCI,LSH,ND,ND,7/25/2014 23:25,2014,7,25,23,25,7/25/2014 23:32,ASSP,4501-37831,4501-37831,N,N,N,2,36,0,36,14.3,ND,23,142,ND,ND,"DMM, JAH, EWW",N,NA
2014-07-25_SCI_LSH_09,2014-07-25_SCI_LSH,7/25/2014,2014,7,25,SCI,SCI,LSH,ND,ND,7/25/2014 23:43,2014,7,25,23,43,7/25/2014 23:48,ASSP,4501-37832,4501-37832,N,N,N,4,38,0,38,14.6,ND,22.7,145,ND,ND,"DMM, JAH, EWW",N,NA
2014-07-25_SCI_LSH_10,2014-07-25_SCI_LSH,7/25/2014,2014,7,25,SCI,SCI,LSH,ND,ND,7/25/2014 23:52,2014,7,25,23,52,7/26/2014 0:01,ASSP,4501-37833,4501-37833,N,N,N,5,35,0,35,15.2,ND,24.1,140,ND,ND,"DMM, JAH, EWW",N,NA
2014-07-25_SCI_LSH_11,2014-07-25_SCI_LSH,7/25/2014,2014,7,25,SCI,SCI,LSH,ND,ND,7/26/2014 0:09,2014,7,26,0,9,7/26/2014 0:12,ASSP,4501-37834,4501-37834,N,N,N,2,38,0,38,14.4,ND,23.2,141,ND,ND,"DMM, JAH, EWW",N,NA
2014-08-08_SBI_ESP_01,2014-08-08_SBI_ESP,8/8/2014,2014,8,8,SBI,SBI,ESP,33.482528,-119.041599,8/9/2014 0:39,2014,8,9,0,39,8/9/2014 0:50,ASSP,4501-37835,4501-37835,N,N,N,3,34,0,34,14.5,ND,21.2,137,ND,ND,"SMC, CAC",N,NA
2014-08-08_SBI_ESP_02,2014-08-08_SBI_ESP,8/8/2014,2014,8,8,SBI,SBI,ESP,33.482528,-119.041599,8/9/2014 2:38,2014,8,9,2,38,8/9/2014 2:57,ASSP,4501-37836,4501-37836,N,N,N,3,38,0,38,14.9,ND,24.2,142,ND,ND,"SMC, CAC",N,NA
